,Banyo Sayısı,Bina Yaşı,Brüt Metrekare,Cinsi,Dairenin Katı,Depozito,Eşya Durumu,Isıtma,Kat Sayısı,Kategori,Kullanım Durumu,Net Metrekare,Oda Sayısı,Salon Metrekare,Site İçerisinde,Takas,Türü,WC Sayısı,Yapı Durumu,Yapı Tipi,İlan Numarası,İlan Tarihi,district,county,Title,price
10404,1,4,80m,,3. Kat,2500 TRY,-,Klimalı,4,Kiralık,Boş,65m,2+1,-,Hayır,-,Daire,-,-,-,6867356,01.02.2019,Muratpaşa Mahallesi',Muratpaşa,Kiralık möbleli daire markantalya karşısında 1000 tl,1.000 TL
11560,1,0 (Yeni),65m,,Bahçe dublex,4000 TRY,-,Klimalı,2,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6843234,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Lara güzeloba da 1+1 ultra lüks eşyalı kiralık daire,2.000 TL
12716,1,5-10,65m,,2. Kat,1200 TRY,-,Klimalı,4,Kiralık,Boş,55m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6840409,31.01.2019,Hurma Mahallesi',Konyaaltı,Palas gayrimenkul den hurma da ful eşyalı havuzlu ara kat 1+1,1.200 TL
13872,1,0 (Yeni),40m,,2. Kat,-,Eşyalı,Klimalı,3,Kiralık,Boş,40m,1+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6610773,29.01.2019,Toros Mahallesi',Konyaaltı,Arapsuyunda öğrenciye çalışana eşyalı 1+1 sıfır kiralık daireler,1.250 TL
14042,1,0 (Yeni),40m,,2. Kat,-,-,Klimalı,3,Kiralık,Boş,40m,1+1,-,Hayır,Yok,Daire,1,Sıfır,Betonarme,6610773,29.01.2019,Toros Mahallesi',Konyaaltı,Arapsuyunda öğrenciye çalışana eşyalı 1+1 sıfır kiralık daireler,1.250 TL
15028,1,5-10,70m,,1. Kat,1300 TRY,-,Klimalı,3,Kiralık,Boş,70m,1+1,-,Hayır,-,Daire,-,-,-,6715357,02.02.2019,Uluç Mahallesi',Konyaaltı,Antalya konyaaltı uluç mah kiralık 1 +1 eşylalı daire,1.300 TL
16184,1,5-10,105m,,1. Kat,-,-,Sobalı,3,Kiralık,Boş,95m,2+1,25 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6972324,01.02.2019,Muratpaşa Mahallesi',Muratpaşa,Eski real avm yanında 2+1 mükemmel konumda depozitosuz  daire,800 TL
17340,-,0 (Yeni),160m,,-,-,-,Kombi Doğalgaz,5,Kiralık,Boş,160m,-,-,Hayır,-,Daire,-,-,-,6176273,01.02.2019,Molla Yusuf Mahallesi',Konyaaltı,Antalya  konyaaltı  uncalı  da 3+1kiralık  daire,2.900 TL
18496,1,3,100m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,-,Daire,-,-,-,6972915,01.02.2019,Liman Mahallesi',Konyaaltı,Bilge gayrimenkulden limanda full eşyalı lüx daire,3.000 TL
19652,2,1,170m,,2. Kat,-,-,Kombi Doğalgaz,4,Kiralık,Boş,170m,3+1,-,Hayır,-,Daire,-,-,-,6844110,01.02.2019,Uncalı Mahallesi',Konyaaltı,Konyaaltı  uncalı  konaklarda  3+1  kiralık  lüks  daire,3.700 TL
20808,1,5-10,100m,,2. Kat,2650 TRY,-,Klimalı,3,Kiralık,Boş,85m,2+1,25 m,Evet,Yok,Daire,1,İkinci El,Betonarme,6973106,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Sıte ıçerisinde havuz kapalı otopark eşyalı,2.650 TL
21964,1,20 ve üzeri,85m,,1. Kat,-,-,Klimalı,2,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6972249,01.02.2019,Çarşı Mahallesi',Alanya,Alanya kalesinde full eşyalı 2+1 daire,1.500 TL
23120,1,5-10,60m,,2. Kat,1350 TRY,-,Klimalı,3,Kiralık,Boş,55m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6972761,01.02.2019,Uluç Mahallesi',Konyaaltı,Sporland yanında 1+1 arakat eşyalı kiralık daire kaçmaz,1.350 TL
24276,1,11-20,150m,,10. Kat,-,-,Klimalı,10,Kiralık,Boş,135m,3+1,35 m,Evet,-,Daire,-,İkinci El,Betonarme,6972456,01.02.2019,Toros Mahallesi',Konyaaltı,Toros  mh  3+1  kiralık,1.600 TL
25432,1,11-20,145m,,2. Kat,1000 TRY,-,Isıtma yok,4,Kiralık,Boş,140m,3+1,-,Hayır,-,Daire,-,-,-,6969936,01.02.2019,Güvenlik Mahallesi',Muratpaşa,Antalya muratpaşa güvenlik te kiralık daire,900 TL
26588,1,4,130m,,Yüksek giriş,-,-,Isıtma yok,3,Kiralık,Boş,120m,3+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6971514,01.02.2019,Ahatlı Mahallesi',Kepez,Ahatlı ulusoy cd yakını köşe başı 4 cephe açık geniş kiralık 3+1,850 TL
27744,1,5-10,50m,,Yüksek giriş,1100 TRY,-,Klimalı,5,Kiralık,Boş,45m,1+1,-,Hayır,-,Daire,-,-,-,6967771,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı uncalı mah kiralık eşyalı 1+1 daire,1.100 TL
28900,1,4,100m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6971142,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurma da kiralık eşyalı 2+1  daire,1.500 TL
30056,1,5-10,90m,,1. Kat,900 TRY,-,Isıtma yok,2,Kiralık,Boş,85m,2+1,25 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6971471,01.02.2019,Güzeloba Mahallesi',Muratpaşa,Rauf denktaş bulvarı bim market arkası 2+1 ayrı mutfak daire,900 TL
31212,1,11-20,165m,,5. Kat,-,-,Klimalı,10,Kiralık,Boş,145m,3+1,-,Evet,-,Daire,-,-,-,6971207,01.02.2019,Demircikara Mahallesi',Muratpaşa,Demircikara mah  narenciye manzaralı site içi 3+1 daire,1.500 TL
32368,1,5-10,55m,,Bahçe katı,-,-,Klimalı,10,Kiralık,Boş,50m,1+1,-,Hayır,-,Daire,1,-,-,6970885,01.02.2019,Şirinyalı Mahallesi',Muratpaşa,şirinyalı mahallesi nde zemin katta kiralık daire,750 TL
33524,1,5-10,100m,,Yüksek giriş,1750 TRY,-,Klimalı,7,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6971089,01.02.2019,Çağlayan Mahallesi',Muratpaşa,çağlayanda havuzlu sitede fulll mobilyalı şık 2+1 giriş kat,1.750 TL
34680,1,0 (Yeni),80m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,65m,1+1,-,Hayır,-,Daire,-,-,-,6970043,02.02.2019,Milli Egemenlik Mahallesi',Manavgat,Manavgat devlet hastanesi karşısında 1+1 asansörlü sıfır daire,850 TL
34681,1,11-20,150m,,1. Kat,1750 TRY,Eşyalı,Klimalı,7,Kiralık,Boş,140m,3+1,30 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6967858,02.02.2019,Varlık Mahallesi',Muratpaşa,Muratpaşa varlık mah  100 yıl bul  üzeri 3+1 katta da,1.750 TL
34682,1,2,60m,,2. Kat,-,-,Klimalı,5,Kiralık,Boş,55m,1+1,-,Hayır,-,Daire,-,-,-,6968863,01.02.2019,Toros Mahallesi',Konyaaltı,Toros mah  1+1 eşyalı kiralık daire,1.300 TL
34683,1,0 (Yeni),110m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,2,Sıfır,Betonarme,6971803,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlıda kiralık 2+1 daire no 17342,900 TL
34684,Yok,11-20,150m,,Kot 1,-,-,Klimalı,4,Kiralık,Boş,100m,3+1,35 m,Hayır,Yok,Daire,Yok,-,Taş Bina,6970716,01.02.2019,Sahilkent Mahallesi',Finike,Yeni hastane ve denize yakın mesafede kiralık konut 3+1,800 TL
34685,2,5-10,110m,,Düz giriş,3000 TRY,-,Doğalgaz sobalı,2,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,-,-,-,6970573,02.02.2019,Hurma Mahallesi',Konyaaltı,Kiralik  lux  daire,3.000 TL
34686,1,5-10,110m,,Yüksek giriş,1500 TRY,-,Klimalı,5,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,-,-,-,6971404,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı uncalı mah kiralık 2+1 daire,1.500 TL
34687,1,3,110m,,2. Kat,-,-,Klimalı,4,Kiralık,Boş,90m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6971083,01.02.2019,Sarısu Mahallesi',Konyaaltı,Konyaaltı sarısu da kiralık 2+1 eşyalı,1.500 TL
34688,2,11-20,165m,,4. Kat,-,-,Kombi Doğalgaz,4,Kiralık,Boş,150m,3+1,-,Hayır,-,Daire,-,-,-,6968807,01.02.2019,Meydankavağı Mahallesi',Muratpaşa,Meydankavağı mah  3+1 doğalgazlı 165m2,2.100 TL
34689,1,5-10,75m,,Düz giriş,1000 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6971600,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurmada havuzlu sitede 1+1mobilyalı giriş kat daire,1.000 TL
34690,1,2,60m,,1. Kat,-,-,Klimalı,5,Kiralık,Boş,55m,1+1,-,Hayır,-,Daire,-,-,-,6968853,01.02.2019,Toros Mahallesi',Konyaaltı,Toros mah  1+1 kiralık daire,1.100 TL
34691,1,5-10,145m,,2. Kat,-,-,Sobalı,3,Kiralık,Boş,135m,3+1,-,Hayır,-,Daire,-,-,-,6971369,01.02.2019,Çağlayan Mahallesi',Manavgat,Manavgat çağlayan kiralık 3+1geniş daire,900 TL
34692,1,5-10,500m,,9. Kat,-,-,Klimalı,9,Kiralık,Boş,68m,1+1,-,Hayır,-,Daire,-,-,-,6971146,01.02.2019,Oba Mahallesi',Alanya,1+1 daire oba esyali full,2.000 TL
34693,1,4,85m,,2. Kat,1400 TRY,-,Klimalı,4,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,-,-,-,6969139,02.02.2019,Yeşilbahçe Mahallesi',Muratpaşa,Portakalçiçeği möbleli 2+1 kat 2 lüks,1.400 TL
34694,1,0 (Yeni),100m,,4. Kat,1900 TRY,-,Klimalı,4,Kiralık,Boş,95m,2+1,-,Hayır,Yok,Daire,-,Sıfır,Betonarme,6970216,01.02.2019,Liman Mahallesi',Konyaaltı,Alyans tan liman da g odalı 2+1 kapalı otopark havuzlu daire,1.900 TL
34695,1,2,165m,,4. Kat,1400 TRY,-,Güneş Enerjisi,5,Kiralık,Boş,150m,3+1,-,Hayır,-,Daire,-,-,-,6778919,01.02.2019,Cikcilli Mahallesi',Alanya,Yeni devlet hastanesine yakın 165 m2 3+1 ayrı mutfaklı daire,1.400 TL
34696,3,0 (Yeni),200m,,5. Kat,-,-,Klimalı,5,Kiralık,Boş,200m,5+1,-,Hayır,-,Daire,-,-,-,6970619,31.01.2019,Büyükhasbahçe Mahallesi',Alanya,Alanya  merkezde  havuzlu  site  içersinde  kiralık  5+1  dubleks,2.250 TL
34697,1,20 ve üzeri,150m,,1. Kat,-,-,Klimalı,5,Kiralık,Boş,140m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969891,01.02.2019,Demircikara Mahallesi',Muratpaşa,Narenciye caddesi nde sitede kiralık 3+1 gdk cepheli 1 kat daire,1.000 TL
34698,1,20 ve üzeri,100m,,4. Kat,-,Boş,Güneş Enerjisi,5,Kiralık,Boş,95m,2+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6967360,02.02.2019,Mahmutlar Mahallesi',Alanya,Alanya mahmutlar klas dom hotel yanı kiralık 4 kat 2+1 daire,800 TL
34699,2,4,100m,,3. Kat,1650 TRY,Boş,Klimalı,4,Kiralık,Boş,95m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969937,01.02.2019,Liman Mahallesi',Konyaaltı,Alyans tan liman da 2+1 havuzlu denize 500 mt mesafe daire,1.650 TL
34700,1,3,60m,,2. Kat,1300 TRY,-,Klimalı,4,Kiralık,Boş,50m,1+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6970407,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltı hurma ana cadde üzeri denize yakın full eşyalı 1+1,1.300 TL
34701,2,5-10,150m,,5. Kat,-,-,Kat Kaloriferi,8,Kiralık,Boş,140m,3+1,-,Hayır,Yok,Daire,-,İkinci El,Betonarme,6969900,31.01.2019,Altınkum Mahallesi',Konyaaltı,Konyaaltı altınkumda jadeden 3+1 arakat daire k005674,1.500 TL
34702,1,20 ve üzeri,130m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,-,-,-,6970140,01.02.2019,Zerdalilik Mahallesi',Muratpaşa,Zerdalilikte geniş 2+1 kiralık daire,1.250 TL
34703,2,5-10,138m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,125m,3+1,-,Hayır,-,Daire,-,-,-,6966869,01.02.2019,Konuksever Mahallesi',Muratpaşa,Kapalı pazar ve çevre yoluna yürüme mesafesinde geniş 3+1 dublex,1.150 TL
34704,2,5-10,160m,,7. Kat,4500 TRY,-,Klimalı,10,Kiralık,Boş,160m,3+1,40 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6808691,31.01.2019,Güzeloba Mahallesi',Muratpaşa,Düdenpark ve deniz manzaralı içi yapılı lüks daire,4.500 TL
34705,2,4,190m,,4. Kat,-,-,Klimalı,4,Kiralık,Boş,170m,3+1,-,Hayır,-,Daire,-,-,Betonarme,6967602,01.02.2019,Hurma Mahallesi',Konyaaltı,Bilge den hurmada 3+1 170m2 lüx  full eşyalı dublex,3.250 TL
34706,1,5-10,130m,,Yüksek giriş,450 TRY,-,Klimalı,3,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,1,Sıfır,Betonarme,6967199,01.02.2019,Hatipler Mahallesi',Manavgat,Manavgat hatipler de ata emlak tan temiz 2+1 400 tl kiralık daire,450 TL
34707,1,5-10,100m,,Yüksek giriş,1750 TRY,-,Klimalı,8,Kiralık,Boş,90m,2+1,30 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969181,01.02.2019,Çağlayan Mahallesi',Muratpaşa,çağlayan da havuzlu sitede 2+1 mobilyalı giriş kat daire,1.750 TL
34708,1,5-10,110m,,2. Kat,-,-,Klimalı,6,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6969811,01.02.2019,Kuşkavağı Mahallesi',Konyaaltı,Konyaaltı kuşkavağında 2+1 100m2 otoparklı deniz manzaralı daire,1.800 TL
34709,1,5-10,95m,,14. Kat,-,-,Klimalı,15,Kiralık,Boş,80m,2+1,-,Hayır,-,Daire,-,-,-,6969918,01.02.2019,Altınkum Mahallesi',Konyaaltı,Konyaaltı uluçda cadde üzeri 2+1 80m2 kiralık daire,1.100 TL
34710,1,11-20,110m,,Bahçe dublex,2000 TRY,-,Klimalı,3,Kiralık,Boş,100m,2+1,-,Hayır,-,Daire,-,-,-,6969917,31.01.2019,Çağlayan Mahallesi',Muratpaşa,Else emlak dan lara çağlayan mh mobilyalı,2.000 TL
34711,1,20 ve üzeri,130m,,2. Kat,900 TRY,-,Isıtma yok,3,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,2,İkinci El,Betonarme,6918052,01.02.2019,Çarşı Mahallesi',Alanya,Damlataş kale yolunda 2+1 içi yapılıyor mutfak banyo sıfır,900 TL
34712,2,1,120m,,5. Kat,1000 TRY,-,Klimalı,5,Kiralık,Boş,118m,2+1,40 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969596,02.02.2019,Hurma Mahallesi',Konyaaltı,Antalya konyaaltı hurma da bos kıralık 2+1 dublex havuzlu,1.000 TL
34713,1,0 (Yeni),100m,,2. Kat,1700 TRY,Boş,Klimalı,4,Kiralık,Boş,95m,2+1,-,Hayır,Yok,Daire,-,Sıfır,Betonarme,6970090,01.02.2019,Liman Mahallesi',Konyaaltı,Alyans tan limanın ödül almış sitesinde 2+1 havuzlu sıfır daire,1.700 TL
34714,2,2,125m,,4. Kat,-,Boş,Klimalı,4,Kiralık,Boş,100m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969123,01.02.2019,Hurma Mahallesi',Konyaaltı,Konyaaltıhurma da kiralık lüks sitede geniş kullanışlı  2+1 duble,1.700 TL
34715,1,3,110m,,2. Kat,850 TRY,-,Klimalı,4,Kiralık,Boş,90m,2+1,20 m,Hayır,Yok,Daire,2,İkinci El,Betonarme,6968830,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlı mah de çok güzel arakatta 2+1,850 TL
34716,2,11-20,150m,,5. Kat,3000 TRY,Boş,Klimalı,7,Kiralık,Boş,130m,3+1,35 m,Hayır,-,Daire,3,İkinci El,Betonarme,6970692,31.01.2019,Meydankavağı Mahallesi',Muratpaşa,Meydankavağı perge caddesinde kiralık daire  kgd cepheli,1.500 TL
34717,1,0 (Yeni),50m,,2. Kat,-,Boş,Klimalı,4,Kiralık,Boş,40m,1+1,30 m,Hayır,Yok,Daire,1,Sıfır,Betonarme,6966104,02.02.2019,Emek Mahallesi',Manavgat,Manavgat üniversitesi mevkinde 1+1 1+0 full sıfır eşyalı kiralık,800 TL
34718,-,5-10,170m,,-,3750 TRY,-,Kombi Doğalgaz,4,Kiralık,Boş,160m,3+1,-,Hayır,-,Daire,-,-,-,6968478,01.02.2019,Uncalı Mahallesi',Konyaaltı,Antalya konyaaltı konaklada 3+1 kiralık daire,3.750 TL
34719,1,5-10,130m,,Düz giriş,400 TRY,-,Sobalı,1,Kiralık,Boş,120m,2+1,-,Hayır,-,Daire,-,-,-,6967020,01.02.2019,Hatipler Mahallesi',Manavgat,Manavgat hatipler de ata emlak tan  2+1 kiralık daire,400 TL
34720,1,5-10,100m,,10. Kat,2000 TRY,-,Kombi Doğalgaz,13,Kiralık,Boş,85m,2+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6965446,02.02.2019,Fener Mahallesi',Muratpaşa,Fener de 2+1 kiralık daire,2.000 TL
34721,1,20 ve üzeri,60m,,Bahçe katı,550 TRY,-,Klimalı,5,Kiralık,Boş,30m,1,-,Hayır,-,Daire,-,-,-,6935703,31.01.2019,Bahçelievler Mahallesi',Muratpaşa,Sahibinden bahçeli evler 138 sokak öncel apt,550 TL
34722,1,5-10,100m,,2. Kat,2800 TRY,-,Klimalı,5,Kiralık,Boş,80m,2+1,24 m,Hayır,Yok,Daire,1,İkinci El,Betonarme,6943332,01.02.2019,Liman Mahallesi',Konyaaltı,Antalya konyaaltı liman mah fuleşyalı kiralık 2+1,1.400 TL
34723,1,4,65m,,Yüksek giriş,1400 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6970296,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 1+1 lüks eşyalı kiralık lüks kiralık d,1.400 TL
34724,1,4,65m,,Yüksek giriş,1400 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,Yok,Daire,1,İkinci El,Betonarme,6970255,01.02.2019,Liman Mahallesi',Konyaaltı,Konyaaltı limanda havuzlu 1+1 full eşyalı lüks kiralık daire,1.400 TL
34725,1,5-10,65m,,1. Kat,1500 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6965164,02.02.2019,Liman Mahallesi',Konyaaltı,Antalya konyaaltı liman mah katta güney cephelimobılyalı,1.500 TL
34726,1,11-20,55m,,3. Kat,700 TRY,-,Klimalı,3,Kiralık,Boş,45m,1+1,-,Hayır,-,Daire,-,-,-,6968605,02.02.2019,Toros Mahallesi',Konyaaltı,Konyaaltı toros mahallesinde çatı katı kiralık 1+1 eşyalı daire,700 TL
34727,1,11-20,90m,,1. Kat,-,-,Isıtma yok,3,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6969829,01.02.2019,Yeşilyurt Mahallesi',Kepez,Yeşilyurtta kiralık 2+1 kullanışlı daire,850 TL
34728,1,5-10,140m,,3. Kat,750 TRY,-,Sobalı,4,Kiralık,Boş,130m,3+1,-,Hayır,-,Daire,-,-,-,6966293,02.02.2019,Sarılar Mahallesi',Manavgat,Manavgat sarılar merkezde kiralık daire,750 TL
34729,1,5-10,80m,,Kot 2,-,-,Klimalı,3,Kiralık,Boş,80m,1+1,-,Hayır,-,Daire,-,-,-,6967388,02.02.2019,Side Mahallesi',Manavgat,Side bölgesinde kiralık daire,850 TL
34730,1,5-10,75m,,-,700 TRY,-,Klimalı,2,Kiralık,Boş,60m,-,-,Hayır,-,Daire,-,İkinci El,Betonarme,6967248,01.02.2019,Altınkum Mahallesi',Konyaaltı,Konyaaltı altınkum olimpos hast yakını merkezi,700 TL
34731,Yok,1,70m,,Yüksek giriş,1500 TRY,-,Klimalı,4,Kiralık,Boş,60m,1+1,-,Hayır,-,Daire,-,-,-,6969090,31.01.2019,Liman Mahallesi',Konyaaltı,Limanda kiralık eşyalı yüksek giriş 1+1 daire,1.500 TL
34732,1,4,95m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,-,-,-,6965491,01.02.2019,Kültür Mahallesi',Kepez,Kepez kültür kafeler caddesi üzerinde 2+1 eşyalı kiralık geniş,1.250 TL
34733,1,4,90m,,Yüksek giriş,-,-,Klimalı,4,Kiralık,Boş,80m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966157,01.02.2019,Ahatlı Mahallesi',Kepez,Antalya kepez ahatlıda kiralık 2+1 giriş no 17295,775 TL
34734,3,1,180m,,Yüksek giriş,-,Eşyalı,Klimalı,4,Kiralık,Boş,165m,2+1,-,Hayır,Yok,Daire,3,Sıfır,Betonarme,6968774,31.01.2019,Hurma Mahallesi',Konyaaltı,Rw deniz den hurmada 180 m2 modern eşyalı kiralık ters dubleks,2.000 TL
34735,1,11-20,130m,,2. Kat,-,-,Klimalı,5,Kiralık,Boş,120m,3+1,-,Hayır,-,Daire,-,-,-,6965301,01.02.2019,Yenigün Mahallesi',Muratpaşa,Antalya yenigün mahallesinde depozitosuz 3+1 kiralık daire,1.000 TL
34736,1,5-10,75m,,3. Kat,-,-,Klimalı,3,Kiralık,Boş,70m,2+1,-,Hayır,-,Daire,-,-,-,6964555,31.01.2019,Molla Yusuf Mahallesi',Konyaaltı,Konyaaltı molla yusuf da site içinde kiralık 2+1 daire,1.100 TL
34737,1,5-10,90m,,3. Kat,1200 TRY,Eşyalı,Klimalı,3,Kiralık,Boş,85m,2+1,-,Hayır,Yok,Daire,2,-,-,6968447,31.01.2019,Kültür Mahallesi',Kepez,Beyazdan kültürde ün ye 7 dk katta ful eşyalı 2+1 daire 1200 tl,1.200 TL
34738,2,0 (Yeni),150m,,2. Kat,1100 TRY,-,Klimalı,3,Kiralık,Boş,130m,3+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966878,01.02.2019,Sarısu Mahallesi',Konyaaltı,Sarısuda havuzlu güvenlikli sitede 3+1 dubleks kiralık daire,1.100 TL
34739,1,4,90m,,2. Kat,1100 TRY,-,Klimalı,4,Kiralık,Boş,85m,2+1,-,Hayır,-,Daire,1,İkinci El,Betonarme,6967080,01.02.2019,Hurma Mahallesi',Konyaaltı,Hurma da güvenlikli kapalı otoparklı lüks sitede 2+1,1.100 TL
34740,1,4,100m,,2. Kat,1400 TRY,-,Klimalı,4,Kiralık,Boş,96m,2+1,-,Hayır,Yok,Daire,2,İkinci El,Betonarme,6966801,01.02.2019,Liman Mahallesi',Konyaaltı,Sürmeli emlaktan full eşyalı 2+1 ayrı mutfaklı havuzlu kiralık,1.400 TL
